vol10;occ10
533;15.629
565;12.088
494;11.025
530;11.34
516;11.694
447;8.544
458;8.898
390;7.126
366;6.654
352;6.456
297;4.962
261;4.175
245;3.819
233;3.622
211;3.425
192;3.543
196;2.953
180;3.267
204;3.504
193;3.661
253;4.448
282;5.905
342;9.214
440;14.332
475;13.978
617;26.655
636;32.01
626;66.148
608;77.054
653;72.763
622;49.058
594;32.681
597;50.476
649;61.186
603;71.816
561;70.241
553;53.155
481;26.242
577;57.917
304;88.631
337;87.999
382;89.81
683;64.848
685;62.132
575;74.928
663;53.508
604;51.065
659;32.837
633;24.568
635;20.396
641;22.641
618;20.671
545;22.009
682;22.13
523;22.324
511;31.932
622;30.552
663;39.297
729;59.572
697;33.309
693;54.729
715;60.28
554;61.186
695;65.595
724;58.39
758;53.311
761;45.751
735;31.97
709;30.08
779;27.875
762;26.262
783;36.458
760;40.28
719;31.774
733;29.53
760;27.836
710;33.427
629;53.705
747;52.878
649;35.673
764;38.743
750;33.781
715;44.767
666;38.078
695;23.783
733;39.491
711;36.301
735;37.916
690;35.16
664;20.475
623;18.113
658;20.631
639;23.82
642;19.175
631;16.893
574;13.07
627;16.812
610;17.325
597;15.867
635;16.222
552;14.84
614;13.899
556;14.016
574;12.442
529;12.008
540;10.748
474;8.899
408;7.401
383;6.378
382;6.969
357;6.261
356;6.063
358;6.024
374;6.575
330;6.444
344;5.827
420;7.953
321;8.977
328;8.426
356;7.442
403;10.55
430;12.756
482;19.136
504;14.528
472;12.835
463;10.71
476;12.797
503;14.252
505;15.829
599;18.151
611;17.68
644;27.876
568;24.959
596;24.294
528;62.287
685;27.796
683;22.602
682;35.239
660;21.656
668;20.633
681;27.719
646;22.679
665;38.191
614;20.002
645;18.387
666;22.915
703;21.185
682;27.799
604;22.129
686;29.648
653;21.143
698;23.072
703;25.592
687;22.364
664;25.672
611;20.946
612;20.71
628;17.482
634;19.371
603;17.561
585;19.805
494;15.731
579;16.3
551;15.513
632;19.017
694;21.457
675;23.663
687;27.325
669;22.089
598;18.939
700;27.837
720;26.972
675;23.112
732;28.231
689;27.757
474;21.614
12;0.43
0;0.39
0;0.39
0;0.39
0;0.39
4;0.39
20;0.942
46;1.781
595;26.261
611;62.13
706;50.162
644;38.192
583;15.041
553;13.427
568;15.552
526;13.939
519;12.993
621;14.255
592;15.277
615;15.157
656;18.232
649;16.3
683;20.121
685;18.584
621;17.206
681;18.308
628;14.371
617;14.212
628;16.497
614;13.702
572;11.457
539;11.655
533;10.316
536;10.236
566;11.929
463;8.701
442;8.545
455;8.622
390;10.789
300;15.239
379;20.238
339;14.724
315;18.86
322;14.136
318;7.047
250;6.142
317;7.678
296;9.096
337;8.23
370;8.506
427;10.513
424;10.196
465;12.088
451;19.292
473;17.127
533;14.214
589;15.317
639;18.072
752;23.898
666;23.899
646;19.804
723;29.687
645;68.509
604;66.737
663;66.974
736;49.57
706;49.963
634;63.509
696;45.396
712;53.745
713;30.634
625;21.616
543;17.404
562;16.656
567;15.592
528;14.371
529;13.307
471;12.225
537;13.308
563;12.836
521;12.128
589;17.087
619;15.473
559;14.724
614;14.371
593;20.199
649;17.286
716;20.829
612;14.922
715;22.01
703;23.349
719;26.144
712;21.615
765;28.783
727;26.066
770;27.01
715;22.954
757;27.796
699;30.475
760;35.238
677;19.765
743;22.875
722;23.032
696;28.31
665;20.671
692;21.969
640;17.64
608;21.183
632;16.183
644;18.19
625;14.254
629;15.514
652;16.93
681;16.812
692;15.986
665;15.158
642;15.789
565;12.561
490;9.371
476;9.331
407;7.639
374;6.771
305;5.157
310;5.04
262;4.135
264;4.291
195;3.031
228;3.544
153;2.625
201;3.503
188;2.955
206;3.464
189;4.233
281;5.275
330;9.214
365;8.465
524;15.396
668;22.914
689;26.026
751;47.285
671;24.058
634;24.728
583;39.611
625;25.238
600;22.245
658;22.169
569;20.16
652;42.09
689;40.357
658;23.072
663;29.451
613;19.884
617;21.262
607;19.096
585;19.489
560;18.741
553;19.488
596;18.859
578;19.213
531;19.017
543;16.103
588;21.065
564;17.875
547;19.922
530;18.347
544;19.018
579;19.216
662;24.884
619;31.263
590;29.768
596;21.733
661;26.34
638;22.561
676;27.405
617;18.308
632;27.088
729;32.207
651;22.049
743;26.34
761;26.381
650;20.081
737;30.396
768;34.569
776;30.041
750;31.027
648;38.667
708;23.348
713;27.126
559;42.877
686;25.002
694;23.112
688;23.78
733;27.443
717;22.837
675;45.515
667;23.899
681;21.891
693;20.673
691;19.687
643;17.166
586;17.641
619;15.67
605;14.095
569;14.016
545;12.009
573;14.175
576;12.482
511;11.221
478;9.765
469;9.095
469;9.53
404;7.481
375;7.717
349;6.299
297;5.314
260;4.488
226;3.937
190;2.991
192;3.071
174;2.716
142;2.56
122;1.93
124;2.244
126;1.928
154;2.401
117;1.73
143;2.442
152;2.636
191;3.542
243;4.526
312;7.797
382;9.331
472;13.976
622;21.538
727;37.603
727;39.451
679;33.232
584;68.549
615;71.62
629;54.69
645;27.129
677;23.347
601;20.356
675;34.53
671;37.246
624;50.005
660;35.201
680;46.225
600;65.952
688;42.602
627;24.254
593;18.979
561;21.459
579;19.53
623;24.804
686;48.311
688;51.697
633;64.297
678;51.344
666;58.153
656;53.625
599;49.767
591;39.333
657;38.901
623;55.949
548;37.563
653;24.138
684;37.798
681;25.357
683;28.742
637;32.877
627;22.798
576;19.332
639;19.331
633;22.127
656;23.232
675;21.499
657;33.978
685;20.474
693;26.064
633;21.026
673;24.292
647;19.923
662;27.129
662;18.27
665;21.419
640;19.214
714;25.158
783;27.521
705;24.214
655;38.702
676;30.71
720;30.789
731;22.995
679;18.779
686;24.608
674;26.183
653;17.718
571;30.711
570;17.875
502;12.875
493;11.024
506;10.786
507;10.749
509;10.67
479;14.884
500;10.237
506;9.804
434;8.779
371;6.889
331;5.985
288;5.158
247;8.818
209;3.504
238;3.937
193;2.874
159;2.441
187;2.992
150;2.243
159;2.639
146;2.203
151;2.362
119;1.773
135;2.479
169;3.267
247;4.882
322;7.835
382;9.805
476;21.576
581;29.647
722;39.727
695;41.145
631;55.005
654;59.098
605;24.137
603;27.797
651;26.221
699;26.026
615;21.339
647;26.774
639;18.584
563;27.442
565;37.484
649;41.026
687;27.877
688;31.733
609;27.129
597;32.641
658;35.002
607;20.355
606;21.343
590;20.278
608;19.333
567;21.418
565;36.657
592;19.646
621;21.538
571;19.53
624;19.608
653;26.379
610;25.001
637;22.088
620;28.231
716;25.554
661;23.623
684;26.262
684;23.741
651;23.269
669;23.664
696;26.774
653;19.845
633;25.711
692;23.782
684;24.491
711;24.806
713;35.792
696;42.955
727;25.159
712;24.096
659;48.233
635;64.769
696;50.398
689;49.923
678;63.075
638;60.163
520;86.463
560;71.777
636;66.461
605;73.944
650;68.038
697;54.492
673;66.856
722;51.738
578;21.773
605;16.183
536;14.805
515;14.37
519;12.718
521;11.419
502;10.552
532;12.581
534;11.496
535;10.866
500;10.198
445;9.883
424;7.952
383;7.677
278;4.881
299;5.631
226;4.055
235;3.741
200;3.228
173;3.03
188;2.993
203;3.347
188;3.229
152;2.204
154;2.636
158;2.952
140;3.071
199;3.583
255;4.882
307;11.733
407;10.553
496;15.947
616;19.452
709;51.067
694;67.014
645;62.092
552;80.322
552;78.589
687;57.682
669;51.028
641;20.67
665;28.624
626;21.971
613;23.584
632;24.806
696;36.144
698;40.042
680;47.247
610;22.718
594;20.435
631;25.317
646;23.705
574;19.413
579;19.923
622;21.892
624;29.176
587;19.568
537;30.277
560;29.608
593;19.292
626;21.183
624;21.774
648;27.009
577;20.317
621;19.254
637;25.319
677;25.357
598;23.151
616;22.05
606;21.458
646;21.617
650;21.656
659;21.34
660;20.395
647;24.017
666;23.978
703;22.403
762;26.968
684;20.552
710;27.64
648;31.933
678;21.223
725;26.105
721;25.317
681;21.025
671;22.641
688;22.05
733;23.506
705;37.128
755;33.546
675;22.324
674;23.387
704;21.537
685;21.892
676;20.71
638;21.499
596;40.632
620;15.75
631;17.954
568;15.553
565;14.529
568;13.897
582;14.095
561;17.128
531;11.89
551;11.299
568;12.207
475;9.016
478;9.45
411;7.599
399;7.913
335;6.063
305;5.552
265;4.487
277;4.567
236;3.7
233;3.7
227;4.29
214;3.465
181;2.914
197;3.19
220;3.663
182;3.268
228;4.292
282;10.039
334;9.41
424;10.907
503;15.238
689;27.325
725;25.827
714;28.504
685;44.215
599;30.924
615;22.76
622;28.625
574;24.274
684;29.215
610;23.625
616;28.074
568;18.939
601;25.672
475;37.64
667;76.66
749;54.217
697;46.498
662;42.287
727;51.697
644;36.419
557;24.764
604;42.366
616;28.232
608;26.972
556;17.719
638;24.49
580;23.309
565;15.396
625;34.57
578;20.2
594;25.158
545;17.325
587;19.332
721;27.169
696;30.75
675;28.862
666;25.987
653;27.562
701;25.514
631;25.749
637;16.891
727;28.939
751;29.688
783;32.011
756;39.453
760;43.233
771;29.097
712;24.805
771;55.635
773;35.278
740;25.869
749;27.364
747;30.357
718;29.06
683;22.402
700;29.294
773;38.351
707;25.87
712;24.923
726;28.859
688;25.042
663;22.443
725;20.041
671;19.845
658;25.907
655;19.961
589;15.04
516;12.52
542;13.545
607;14.726
564;13.74
553;14.687
598;14.884
522;11.694
571;14.371
654;16.812
623;15.357
578;13.426
566;13.703
509;10.316
512;10.317
476;9.293
430;8.033
426;7.442
409;7.125
402;6.97
444;7.599
348;6.754
319;5.197
343;5.709
368;6.694
335;6.379
357;6.26
371;8.465
399;13.111
379;10.75
420;11.063
485;20.433
506;38.113
468;18.31
479;14.253
473;13.741
530;17.483
516;14.804
582;14.763
554;16.379
612;16.3
624;22.838
696;21.735
678;27.76
633;23.938
646;23.348
628;28.584
646;30.987
705;43.9
687;27.088
640;21.459
649;19.567
629;19.214
673;21.261
678;24.253
584;16.459
657;21.183
621;20.002
653;25.512
683;19.727
620;17.206
583;27.994
643;17.283
653;20.434
611;18.938
655;21.496
623;17.481
655;19.057
625;16.536
607;16.341
556;12.915
512;12.324
582;17.482
579;13.939
626;15.397
635;16.024
634;16.418
685;20.474
669;21.104
715;21.065
670;21.066
722;27.483
749;26.578
727;26.497
713;24.491
735;30.081
725;23.899
698;23.623
724;24.45
686;23.467
755;23.781
700;21.143
662;20.239
691;18.781
665;25.632
668;18.27
677;20.081
610;17.521
616;17.126
627;31.027
628;18.153
607;15.709
603;17.836
660;18.466
682;22.088
631;17.405
652;18.899
680;20.394
708;20.514
679;17.599
616;17.049
648;16.812
636;15.08
596;15.71
531;11.102
541;11.26
553;11.497
499;10.039
520;12.363
458;8.78
493;9.608
414;7.914
416;8.109
388;8.112
360;6.813
367;7.678
320;24.686
349;7.678
348;8.701
264;6.692
297;7.206
307;8.111
328;8.031
333;7.796
403;10.197
471;11.3
437;10.866
463;13.425
478;13.505
631;24.254
628;22.167
531;18.545
617;19.216
527;16.557
674;23.15
643;27.995
627;43.47
648;42.169
677;34.491
668;19.687
691;19.883
633;25.297
631;19.922
661;22.245
650;20.356
568;16.222
552;17.13
661;20.514
607;17.127
618;16.38
530;20.986
530;16.813
533;12.834
578;22.087
535;18.111
532;12.639
563;14.215
633;17.126
665;16.497
661;21.734
640;20.473
689;21.42
743;30.554
769;34.489
699;41.303
685;52.525
659;57.801
653;57.366
713;33.505
609;29.177
676;21.024
648;18.9
676;21.223
665;19.096
642;18.86
679;21.813
575;15.592
567;17.995
711;23.427
640;17.011
629;18.466
605;21.93
608;21.577
572;18.742
615;21.183
563;15.554
540;12.992
582;13.307
494;10.748
517;10.907
390;9.254
438;8.898
419;7.992
305;5.552
338;6.655
279;5.472
250;4.529
189;3.425
194;2.913
204;3.308
151;2.204
191;3.071
151;2.401
131;2.244
145;2.361
163;2.912
176;3.464
207;3.819
286;5.59
368;9.45
380;10.475
440;18.426
672;23.585
719;37.365
692;41.501
599;55.989
616;67.446
628;29.216
493;80.242
659;66.029
652;51.971
670;34.059
676;25.395
640;25.041
634;28.19
609;22.837
646;27.916
689;24.017
654;29.136
628;20.79
611;18.033
581;22.561
550;16.773
613;21.774
565;18.586
617;23.427
565;20.435
544;20.12
655;28.112
575;24.252
598;18.27
619;26.38
616;34.296
593;21.657
624;24.412
603;20.592
621;24.333
599;26.851
617;23.308
704;32.129
751;61.776
778;48.39
654;33.389
723;31.657
697;24.804
675;22.995
635;21.556
738;26.733
746;26.183
733;27.01
733;23.072
679;24.214
665;23.9
729;31.38
706;23.978
698;22.641
704;21.854
655;29.374
735;23.309
718;23.19
707;23.782
733;35.317
668;28.113
700;21.852
670;21.46
651;18.821
580;17.323
620;17.127
575;21.302
562;15.514
551;13.544
506;11.3
499;10.591
514;10.75
476;9.568
483;9.489
446;9.371
420;8.231
410;7.834
287;5.041
268;4.723
262;4.567
228;3.938
193;3.188
188;2.992
183;2.875
128;2.048
148;2.322
143;2.323
116;1.888
141;2.323
136;2.164
163;3.151
181;3.386
257;5.315
301;7.008
411;11.813
467;25.12
632;20.042
736;24.334
687;23.878
693;41.421
616;70.91
669;40.634
645;25.672
650;23.27
672;26.145
681;26.892
663;23.426
605;27.876
593;25.396
657;32.68
630;29.726
612;22.325
618;17.956
627;25.867
612;26.42
539;16.301
580;19.608
510;28.035
543;35.081
591;23.978
611;29.215
601;28.704
599;19.963
582;19.135
618;21.736
591;17.208
645;19.334
619;23.506
587;20.791
642;25.592
613;23.031
648;23.308
653;21.97
576;18.072
659;21.419
620;25.789
656;23.269
618;17.837
731;24.451
648;20.237
710;25.396
704;21.773
706;24.175
669;21.419
682;22.916
633;17.639
700;25.671
628;19.373
682;23.23
638;18.625
716;26.182
704;33.702
757;39.61
744;52.84
674;60.713
751;56.344
703;37.995
705;20.788
708;22.404
635;17.247
639;17.325
666;20.198
543;13.94
530;12.834
534;12.483
497;12.126
518;11.97
522;10.947
515;11.26
499;12.165
477;9.489
430;8.504
387;6.732
372;6.771
325;5.943
284;7.126
244;4.409
235;3.857
233;3.741
174;3.093
179;2.716
168;2.598
166;2.756
155;2.441
123;1.985
163;2.716
140;2.362
190;3.544
204;4.133
295;10.869
416;12.284
479;16.655
621;24.057
550;76.934
580;83.118
576;83.393
631;63.51
685;46.813
658;26.577
659;29.256
680;27.875
675;31.538
650;45.555
672;30.553
649;22.64
655;31.066
658;45.594
673;33.388
632;23.94
569;30.557
622;38.981
619;20.514
597;25.987
646;22.089
613;32.01
567;41.46
651;22.561
616;22.68
562;36.301
552;40.357
632;23.86
635;22.797
616;26.026
628;25.829
627;23.309
672;27.01
674;32.208
562;53.233
589;75.992
593;70.007
699;64.178
758;44.452
750;26.026
727;22.049
705;26.182
657;24.844
724;28.192
786;48.311
758;54.375
574;75.48
543;80.518
478;85.558
460;91.032
474;86.897
481;86.03
742;58.862
422;89.221
356;95.284
360;87.801
406;91.269
411;86.584
422;88.275
461;86.937
497;81.503
500;81.383
734;60.752
733;56.934
724;51.618
530;15.079
565;13.19
518;14.528
713;23.39
590;17.36888889
